SYMBOL,DATE1,LAST_PRICE
21STCENMGM,26-Oct-2023,18.50
360ONE,26-Oct-2023,518.00
3IINFOLTD,26-Oct-2023,35.55
3MINDIA,26-Oct-2023,28980.00
3PLAND,26-Oct-2023,24.45
5PAISA,26-Oct-2023,421.75
63MOONS,26-Oct-2023,264.00
AAATECH,26-Oct-2023,59.20
AAKASH,26-Oct-2023,6.10
AARON,26-Oct-2023,291.95
AARTIDRUGS,26-Oct-2023,476.75
AARTIIND,26-Oct-2023,443.90
AARTIPHARM,26-Oct-2023,387.05
AARTISURF,26-Oct-2023,589.00
AARVEEDEN,26-Oct-2023,23.55
AARVI,26-Oct-2023,131.00
AAVAS,26-Oct-2023,1578.65
ABB,26-Oct-2023,3955.50
ABBOTINDIA,26-Oct-2023,22274.00
ABCAPITAL,26-Oct-2023,170.30
ABFRL,26-Oct-2023,214.95
ABMINTLLTD,26-Oct-2023,45.30
ABSLAMC,26-Oct-2023,445.05
ABSLBANETF,26-Oct-2023,43.00
ABSLLIQUID,26-Oct-2023,1000.00
ABSLNN50ET,26-Oct-2023,44.50
ACC,26-Oct-2023,1913.00
ACCELYA,26-Oct-2023,1400.00
ACE,26-Oct-2023,715.00
ACEINTEG,26-Oct-2023,33.40
ACI,26-Oct-2023,590.00
ACL,26-Oct-2023,94.10
ADANIENSOL,26-Oct-2023,743.50
ADANIENT,26-Oct-2023,2208.00
ADANIGREEN,26-Oct-2023,852.90
ADANIPORTS,26-Oct-2023,771.75
ADANIPOWER,26-Oct-2023,330.05
ADFFOODS,26-Oct-2023,223.10
ADORWELD,26-Oct-2023,1177.40
ADSL,26-Oct-2023,114.50
ADVANIHOTR,26-Oct-2023,97.90
ADVENZYMES,26-Oct-2023,295.00
AEGISCHEM,26-Oct-2023,289.05
AEROFLEX,26-Oct-2023,150.25
AETHER,26-Oct-2023,860.05
AFFLE,26-Oct-2023,1017.90
AGARIND,26-Oct-2023,887.00
AGI,26-Oct-2023,915.00
AGROPHOS,26-Oct-2023,34.20
AGSTRA,26-Oct-2023,60.20
AHL,26-Oct-2023,297.50
AHLADA,26-Oct-2023,108.20
AHLEAST,26-Oct-2023,128.40
AHLUCONT,26-Oct-2023,660.45
AIAENG,26-Oct-2023,3450.05
AJANTPHARM,26-Oct-2023,1688.00
AJMERA,26-Oct-2023,383.00
AJOONI,26-Oct-2023,4.25
AKASH,26-Oct-2023,28.20
AKG,26-Oct-2023,23.75
AKSHAR,26-Oct-2023,7.20
AKSHARCHEM,26-Oct-2023,250.00
AKZOINDIA,26-Oct-2023,2412.00
ALANKIT,26-Oct-2023,9.90
ALBERTDAVD,26-Oct-2023,800.00
ALEMBICLTD,26-Oct-2023,79.00
ALICON,26-Oct-2023,805.10
ALKALI,26-Oct-2023,108.25
ALKEM,26-Oct-2023,3570.00
ALKYLAMINE,26-Oct-2023,2165.00
ALLCARGO,26-Oct-2023,251.00
ALLSEC,26-Oct-2023,632.00
ALMONDZ,26-Oct-2023,82.00
ALOKINDS,26-Oct-2023,17.00
ALPA,26-Oct-2023,72.00
ALPHAGEO,26-Oct-2023,286.75
AMARAJABAT,26-Oct-2023,608.00
AMBER,26-Oct-2023,2940.00
AMBIKCO,26-Oct-2023,1508.70
AMBUJACEM,26-Oct-2023,421.00
AMDIND,26-Oct-2023,64.20
AMIORG,26-Oct-2023,1142.00
AMJLAND,26-Oct-2023,29.95
AMRUTANJAN,26-Oct-2023,580.35
ANANDRATHI,26-Oct-2023,1820.00
ANANTRAJ,26-Oct-2023,229.95
ANDHRAPAP,26-Oct-2023,584.50
ANDHRSUGAR,26-Oct-2023,108.30
ANGELONE,26-Oct-2023,2406.65
ANMOL,26-Oct-2023,44.50
ANUP,26-Oct-2023,2014.00
ANURAS,26-Oct-2023,843.30
APARINDS,26-Oct-2023,5180.00
APCL,26-Oct-2023,192.70
APCOTEXIND,26-Oct-2023,487.00
APEX,26-Oct-2023,205.20
APLAPOLLO,26-Oct-2023,1600.00
APLLTD,26-Oct-2023,749.40
APOLLO,26-Oct-2023,73.95
APOLLOHOSP,26-Oct-2023,4770.00
APOLLOPIPE,26-Oct-2023,672.00
APOLLOTYRE,26-Oct-2023,371.75
APOLSINHOT,26-Oct-2023,1695.00
APTECHT,26-Oct-2023,257.40
APTUS,26-Oct-2023,282.50
ARCHIDPLY,26-Oct-2023,85.35
ARCHIES,26-Oct-2023,22.95
ARIES,26-Oct-2023,164.10
ARIHANTCAP,26-Oct-2023,69.25
ARIHANTSUP,26-Oct-2023,168.50
ARMANFIN,26-Oct-2023,2245.00
ARROWGREEN,26-Oct-2023,379.00
ARTEMISMED,26-Oct-2023,148.55
ARTNIRMAN,26-Oct-2023,49.75
ARVEE,26-Oct-2023,116.20
ARVIND,26-Oct-2023,170.25
ARVINDFASN,26-Oct-2023,328.00
ARVSMART,26-Oct-2023,318.50
ASAHIINDIA,26-Oct-2023,544.75
ASAHISONG,26-Oct-2023,245.95
ASAL,26-Oct-2023,390.05
ASALCBR,26-Oct-2023,439.40
ASHIANA,26-Oct-2023,212.00
ASHIMASYN,26-Oct-2023,14.65
ASHOKA,26-Oct-2023,131.00
ASHOKAMET,26-Oct-2023,18.55
ASHOKLEY,26-Oct-2023,166.60
ASIANENE,26-Oct-2023,179.00
ASIANHOTNR,26-Oct-2023,147.90
ASIANPAINT,26-Oct-2023,2951.00
ASIANTILES,26-Oct-2023,78.00
ASPINWALL,26-Oct-2023,232.50
ASTEC,26-Oct-2023,1183.95
ASTERDM,26-Oct-2023,333.95
ASTRAL,26-Oct-2023,1791.00
ASTRAMICRO,26-Oct-2023,455.80
ASTRAZEN,26-Oct-2023,4598.00
ATAM,26-Oct-2023,171.90
ATFL,26-Oct-2023,767.00
ATGL,26-Oct-2023,534.70
ATL,26-Oct-2023,39.20
ATUL,26-Oct-2023,6228.00
ATULAUTO,26-Oct-2023,614.00
AUBANK,26-Oct-2023,686.50
AUROPHARMA,26-Oct-2023,855.60
AURUM,26-Oct-2023,125.00
AUTOAXLES,26-Oct-2023,2166.00
AUTOBEES,26-Oct-2023,162.93
AVADHSUGAR,26-Oct-2023,689.60
AVALON,26-Oct-2023,490.20
AVANTIFEED,26-Oct-2023,400.00
AVG,26-Oct-2023,269.00
AVROIND,26-Oct-2023,106.50
AVTNPL,26-Oct-2023,83.85
AWHCL,26-Oct-2023,392.00
AWL,26-Oct-2023,317.70
AXISBANK,26-Oct-2023,973.55
AXISBNKETF,26-Oct-2023,430.23
AXISBPSETF,26-Oct-2023,11.25
AXISCADES,26-Oct-2023,516.00
AXISCETF,26-Oct-2023,84.45
AXISGOLD,26-Oct-2023,51.87
AXISHCETF,26-Oct-2023,92.90
AXISILVER,26-Oct-2023,72.90
AXISNIFTY,26-Oct-2023,203.21
AXISTECETF,26-Oct-2023,327.90
AXSENSEX,26-Oct-2023,64.99
AYMSYNTEX,26-Oct-2023,66.90
BAJAJ-AUTO,26-Oct-2023,5255.15
BAJAJCON,26-Oct-2023,238.85
BAJAJELEC,26-Oct-2023,1010.00
BAJAJFINSV,26-Oct-2023,1558.80
BAJAJHCARE,26-Oct-2023,401.00
BAJAJHIND,26-Oct-2023,25.70
BAJAJHLDNG,26-Oct-2023,6650.30
BAJFINANCE,26-Oct-2023,7409.00
BALAJITELE,26-Oct-2023,63.55
BALAMINES,26-Oct-2023,2032.00
BALAXI,26-Oct-2023,419.80
BALKRISHNA,26-Oct-2023,28.95
BALKRISIND,26-Oct-2023,2556.00
BALMLAWRIE,26-Oct-2023,137.25
BALPHARMA,26-Oct-2023,84.00
BALRAMCHIN,26-Oct-2023,402.80
BANARBEADS,26-Oct-2023,90.50
BANARISUG,26-Oct-2023,2565.00
BANCOINDIA,26-Oct-2023,448.00
BANDHANBNK,26-Oct-2023,212.05
BANG,26-Oct-2023,43.55
BANKA,26-Oct-2023,67.70
BANKBARODA,26-Oct-2023,190.00
BANKBEES,26-Oct-2023,433.09
BANKETF,26-Oct-2023,454.20
BANKINDIA,26-Oct-2023,90.35
BANSWRAS,26-Oct-2023,149.00
BARBEQUE,26-Oct-2023,662.00
BASF,26-Oct-2023,2500.00
BASML,26-Oct-2023,42.95
