Trigger Date,Trigger Time,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
NSE_WIPRO results
01 Feb 2024,09:18 AM,NSE_WIPRO,BUY,10,473.2,0,EN
05 Feb 2024,09:46 AM,NSE_WIPRO,SELL,-10,487.4,142,TP
05 Feb 2024,10:17 AM,NSE_WIPRO,BUY,10,485.8,142,EN
06 Feb 2024,12:33 PM,NSE_WIPRO,SELL,-10,500.35,287.5,TP
06 Feb 2024,12:53 PM,NSE_WIPRO,BUY,10,497.7,287.5,EN
13 Feb 2024,03:14 PM,NSE_WIPRO,SELL,-10,512.65,437,TP
14 Feb 2024,09:15 AM,NSE_WIPRO,BUY,10,501.25,437,EN
14 Feb 2024,03:24 PM,NSE_WIPRO,SELL,-10,516.3000000000001,587.5,TP
15 Feb 2024,09:43 AM,NSE_WIPRO,BUY,10,518.75,587.5,EN
16 Feb 2024,12:57 PM,NSE_WIPRO,SELL,-10,534.3000000000001,743,TP
16 Feb 2024,01:50 PM,NSE_WIPRO,BUY,10,532,743,EN

 
NSE_ULTRACEMCO results
01 Feb 2024,11:59 AM,NSE_ULTRACEMCO,BUY,10,9993,0,EN
08 Feb 2024,09:15 AM,NSE_ULTRACEMCO,SELL,-10,10292.800000000001,2998.0000000000146,TP
08 Feb 2024,09:35 AM,NSE_ULTRACEMCO,BUY,10,10212.55,2998.0000000000146,EN

 
NSE_TATASTEEL results
01 Feb 2024,11:16 AM,NSE_TATASTEEL,BUY,10,132,0,EN
02 Feb 2024,02:21 PM,NSE_TATASTEEL,SELL,-10,135.95000000000002,39.5,TP
02 Feb 2024,02:54 PM,NSE_TATASTEEL,BUY,10,135.1,39.5,EN
05 Feb 2024,12:03 PM,NSE_TATASTEEL,SELL,-10,139.15,80,TP
05 Feb 2024,02:10 PM,NSE_TATASTEEL,BUY,10,138.7,80,EN
07 Feb 2024,09:15 AM,NSE_TATASTEEL,SELL,-10,142.85,121.5,TP
07 Feb 2024,09:46 AM,NSE_TATASTEEL,BUY,10,141.7,121.5,EN
01 Mar 2024,02:21 PM,NSE_TATASTEEL,SELL,-10,145.95000000000002,164,TP

 
NSE_TATACONSUM results
01 Feb 2024,09:48 AM,NSE_TATACONSUM,BUY,10,1111,0,EN
02 Feb 2024,09:20 AM,NSE_TATACONSUM,SELL,-10,1144.3500000000001,333.5,TP
02 Feb 2024,09:58 AM,NSE_TATACONSUM,BUY,10,1137.85,333.5,EN
